company_id,company_name,listing_date,security_name,security_symbol,security_symbol_id,security_type,subsector_name
637,Coal Asia Holdings Incorporated,2012-10-23 00:00:00.000,COAL ASIA HOLDINGS INC.,COAL,580,S,17
648,Concepcion Industrial Corporation ,2013-11-27 00:00:00.000,CONCEPCION INDUSTRIAL CORPORATION,CIC,591,S,24
213,Concrete Aggregates Corporation,1972-10-20 00:00:00.000,"CONCRETE AGGREGATES CORPORATION ""A""",CA,361,S,5
213,Concrete Aggregates Corporation,1973-04-02 00:00:00.000,"CONCRETE AGGREGATES CORPORATION ""B""",CAB,362,S,5
50,"Cosco Capital, Inc.",1988-09-26 00:00:00.000,"COSCO CAPITAL, INC.",COSCO,178,S,8
657,Crown Asia Chemicals Corporation,2015-04-27 00:00:00.000,Crown Asia Chemicals Corporation,CROWN,611,S,6
186,"Crown Equities, Inc.",1994-08-16 00:00:00.000,"CROWN EQUITIES, INC.",CEI,191,S,9
67,Cyber Bay Corporation,1991-03-19 00:00:00.000,CYBER BAY CORPORATION,CYBR,295,S,9
639,"D&L Industries, Inc.",2012-12-12 00:00:00.000,"D&L INDUSTRIES, INC.",DNL,582,S,4
671,"D.M. WENCESLAO & ASSOCIATES, INCORPORATED",2018-06-29 00:00:00.000,"D.M. WENCESLAO & ASSOCIATES, INCORPORATED",DMW,641,S,9
187,"DFNN, Inc.",2000-10-30 00:00:00.000,"DFNN, INC.",DFNN,125,S,12
36,DITO CME Holdings Corp.,1975-10-01 00:00:00.000,DITO CME HOLDINGS CORPORATION,DITO,324,S,12
188,"DMCI Holdings, Inc.",1995-12-18 00:00:00.000,"DMCI HOLDINGS, INC.",DMC,192,S,8
188,"DMCI Holdings, Inc.",1997-04-07 00:00:00.000,"DMCI HOLDINGS, INC. - CUMULATIVE CONVERTIBLE PREF.",DMCP,261,P,8
2,"Da Vinci Capital Holdings, Inc.",1991-09-03 00:00:00.000,"DA VINCI CAPITAL HOLDINGS, INC.",DAVIN,150,S,5
642,Del Monte Pacific Limited,2013-06-10 00:00:00.000,DEL MONTE PACIFIC LIMITED,DELM,585,S,4
642,Del Monte Pacific Limited,2017-04-07 00:00:00.000,DEL MONTE PACIFIC LIMITED U.S. DOLLAR DENOMINATED SERIES A-1 PREFERENCE SHARES,DMPA1,633,P,4
642,Del Monte Pacific Limited,2017-12-15 00:00:00.000,Del Monte Pacific Limited U.S. Dollar Denominated Series A-2 Preference Shares,DMPA2,639,P,4
